nom,score
Nanoteam,24615
Les PyROgraveurs,24958
ENStre libellules,25990
MTK,27311
Bob l-éPontsge,30311
Neymar & Mbappe,38190
EclaiROcafé,38617
Hara-Kiro,40406
TIM,43132
Les RO du Mont-Royal,48987
PLS.lsp,49844
ROue libre,67612
QUI REOP ?,72144
Winners tout simplement,83740
kiROyal,84633
Ntarchakillers,98004
TN++,132643
les_tmax,185769
Les Rapetous,221057
Les transpalettes ,265959
Les Kiromanes,412011
La spéciale,513425
Raguy,1329881
Stalingrad Operations,2865815
Givet,2147483640
SombreRO,2147483640
HTTPontS,2147483640
Erreur404,2147483640
ENSTAKIRO,2147483640
OPTIMUS PRIME,2147483640
BAN,2147483640
T3PC,2147483640
TauPonts,2147483640
MDF team,2147483640
Les collègues ,2147483640
Code-y Maverick,2147483640
Alèze,2147483640
kiki-rot,2147483640
Les Kiropracteurs,2147483640
Power Rangers,2147483640
Algorithmes Atlas,2147483640
